nombre,apellidos,dni,email,teléfono,fecha de nacimiento,sección,agrupación,papel,atril,isla,municipio,empadronamiento,trabajo,estudios,matrícula,activa
Mamen,Escribano,62462438F,xbalaguer@example.com,+34942809350,1991-11-25,Dirección,Empresa Externa,Músico,1,Lanzarote,Teguise,San Bartolomé,Productor/a musical,Grado en Música,1349HKW,False
Pastor,Millán,13045423x,amarogutierrez@example.com,+34878 94 79 08,1978-07-22,Contrabajo,Ensemble,Músico,1,La Palma,Los Llanos de Aridane,Los Llanos de Aridane,Autónomo/a,Grado en Ingeniería,4933BLS,False
Néstor,Costa,26572295I,,,,Piano,Coro,Colaborador,,,,,,,,True
Aitor,Llorens,06465389O,,,,Arpa,Ensemble,Invitado,,,,,,,,False
Emilia,Adadia,91931298B,charo26@example.org,+34842 04 17 76,1996-06-25,Percusión,Empresa Externa,Colaborador,1,Tenerife,Santa Cruz de Tenerife,Adeje,Productor/a musical,Educación Secundaria,2009SHB,True
Valerio,Águila,93480013Y,ygrande@example.com,+34982 01 74 34,2007-01-20,Oboe,Colaboradores,Músico,1,Gran Canaria,Las Palmas de Gran Canaria,Telde,Empresario/a,Grado en Ingeniería,3508NGJ,True
Leonardo,Guitart,48561628i,fguerra@example.net,+34879 04 51 18,1975-03-13,Soprano (coro),Coro,Músico,1,La Palma,Santa Cruz de La Palma,Santa Cruz de La Palma,Empresario/a,Bachillerato,1256LMD,False
Paco,Vazquez,23345435F,huguetesperanza@example.com,+34843560316,2000-09-10,Piano,Colaboradores,Invitado,2,La Gomera,San Sebastián de La Gomera,Valle Gran Rey,Músico/a profesional,Grado en Música,4110VFR,True
Gerardo,Lloret,20401522z,,,,Percusión,Ensemble,Colaborador,,,,,,,,False
Priscila,Viñas,13257816J,xcarreno@example.com,+34886815649,1975-11-19,Tuba,Empresa Externa,Empresa Externa,1,La Palma,Santa Cruz de La Palma,Los Llanos de Aridane,Desempleado/a,Educación Secundaria,9123BFZ,False
Felipe,Capdevila,49594180U,gloria74@example.com,+34886740001,2004-11-15,Contrabajo,Colaboradores,Colaborador,2,Fuerteventura,La Oliva,Puerto del Rosario,Productor/a musical,Sin estudios superiores,7504TMS,True
Martín,Verdugo,38921489w,ocoronado@example.org,+34941873706,1988-09-05,Flauta,Empresa Externa,Invitado,1,La Graciosa,Caleta de Sebo,Caleta de Sebo,Estudiante,Grado en Música,6170TYY,False
Ángela,Ros,09852921t,,,,Dirección,Orquesta,Empresa Externa,,,,,,,,False
Reyna,Santamaría,85901379s,vera29@example.net,+34823 942 296,1966-08-29,Percusión,Empresa Externa,Músico,3,Lanzarote,San Bartolomé,San Bartolomé,Técnico/a de sonido,Educación Secundaria,4219LJF,True
Eric,Palomino,83061280t,chus95@example.org,+34 920 695 135,1955-11-20,Fagot,Coro,Invitado,1,La Gomera,San Sebastián de La Gomera,San Sebastián de La Gomera,Técnico/a de sonido,Formación Profesional,2202TLB,True
Eva María,Pedro,23409593g,acaceres@example.org,+34 701277211,1963-08-18,Invitados,Colaboradores,Colaborador,1,Tenerife,Santa Cruz de Tenerife,Adeje,Administrativo/a,Bachillerato,4611ZCJ,False
Custodia,Isern,57999480F,montserratetelvina@example.org,+34 866 76 93 81,1978-09-28,Trombón,Coro,Invitado,1,Lanzarote,Arrecife,Teguise,Productor/a musical,Máster en Interpretación,2708XSG,True
